flybase_gene_id	gene_name	chromosome	start	end	gene_length
FBgn0262567	CG43107	2R	17140495	17140865	371
FBgn0034201	CG17290	2R	17154589	17157125	2443
FBgn0034202	CG17287	2R	17156534	17158316	1783
FBgn0265487	mbl	2R	17216549	17379376	15094
FBgn0010620	CG10939	2R	17394593	17405171	1717
FBgn0034210	Camp	2R	17405304	17407427	1908
FBgn0050101	Vajk4	2R	17408258	17410204	1545
FBgn0016697	Prosalpha5	2R	17412767	17413769	945
FBgn0286070	cnk	2R	17413970	17420007	5816
FBgn0022029	l(2)k01209	2R	17420407	17425679	3254
FBgn0034214	CG6550	2R	17425670	17427511	1782
FBgn0034215	Mtap	2R	17427795	17429315	1392
FBgn0025716	Bap55	2R	17429353	17430963	1473
FBgn0034217	Lhr	2R	17431032	17432219	1188
FBgn0027506	EDTP	2R	17432173	17444938	3151
FBgn0034218	CG18467	2R	17440297	17442483	1462
FBgn0034219	mthl4	2R	17445185	17447483	1930
FBgn0028956	mthl3	2R	17448533	17452598	2504
FBgn0034221	CG10764	2R	17453399	17455729	1700
FBgn0024196	robl	2R	17456472	17457129	527
FBgn0028953	CG14478	2R	17457663	17465795	4345
FBgn0034223	Tes	2R	17465879	17469177	3102
FBgn0022987	qkr54B	2R	17469624	17475129	4432
FBgn0262570	CG43110	2R	17477565	17486220	8272
FBgn0034225	veil	2R	17478158	17482118	2253
FBgn0050104	NT5E-2	2R	17485002	17493169	2062
FBgn0034229	CtsK2	2R	17511513	17513855	1533
FBgn0034230	CG4853	2R	17514217	17517445	2992
FBgn0034231	APC10	2R	17517261	17518186	867
FBgn0034232	CG4866	2R	17518223	17519027	692
FBgn0263197	Patronin	2R	17519024	17535866	7787
FBgn0034237	eIF3b	2R	17536213	17539142	2682
FBgn0263113	Cc2d2a	2R	17539322	17544353	4255
FBgn0085223	CG34194	2R	17544190	17545045	655
FBgn0028382	cyp33	2R	17545222	17546400	986
FBgn0010409	RpL18A	2R	17546406	17547462	635
FBgn0034240	MESR4	2R	17547769	17556289	8012
FBgn0263076	Klp54D	2R	17557031	17563406	2672
FBgn0263029	CG43324	2R	17563606	17564351	746
FBgn0034242	CG14480	2R	17564340	17565852	1337
FBgn0286931	CG46428	2R	17564340	17565852	1390
FBgn0034243	Ns2	2R	17565779	17568456	2233
FBgn0040294	POSH	2R	17568732	17572322	3169
FBgn0034245	UQCR-6.4	2R	17572096	17572784	561
FBgn0250868	CG42239	2R	17572829	17573330	433
FBgn0016701	Rab4	2R	17573462	17574979	1316
FBgn0034246	Dcr-2	2R	17574979	17581525	5684
FBgn0034247	CG6484	2R	17582007	17584012	1590
FBgn0034248	CG14483	2R	17585195	17586294	984
FBgn0034249	RhoGAP54D	2R	17586425	17590884	3791
FBgn0029079	icln	2R	17590964	17591881	832
FBgn0050105	CG30105	2R	17591804	17592509	642
FBgn0029006	Smurf	2R	17592791	17604461	5365
FBgn0034251	ND-51L1	2R	17595267	17597409	2143
FBgn0034253	CG10936	2R	17604951	17639138	5377
FBgn0265576	CG44403	2R	17616499	17617895	1397
FBgn0004400	rhi	2R	17628491	17633516	1570
FBgn0034255	Oxp	2R	17633797	17634167	371
FBgn0034258	eIF3c	2R	17665678	17669275	3321
FBgn0050108	CG30108	2R	17669395	17670000	552
FBgn0050109	CG30109	2R	17670082	17670748	609
FBgn0034259	P32	2R	17671309	17672640	1154
FBgn0016059	Sema1b	2R	17672839	17683499	4565
FBgn0034261	HPS4	2R	17683574	17690822	3677
FBgn0260763	CG42561	2R	17684855	17685548	566
FBgn0260764	CG42562	2R	17685814	17686410	482
FBgn0034262	swi2	2R	17690275	17695353	2582
FBgn0027872	rdgBbeta	2R	17695776	17698362	1382
FBgn0028494	CG6424	2R	17703335	17719346	6244
FBgn0284231	CG46315	2R	17703335	17719346	5765
FBgn0034264	Dlish	2R	17723309	17725056	1402
FBgn0034265	Snx16	2R	17725030	17726847	1699
FBgn0034266	CG4975	2R	17726914	17732987	3222
FBgn0034267	CG4984	2R	17726914	17732987	3483
FBgn0085224	CG34195	2R	17733238	17734483	1184
FBgn0034269	Hyccin	2R	17734419	17737269	2740
FBgn0034270	PIG-A	2R	17737622	17739685	1872
FBgn0034271	Vps50	2R	17739901	17743969	3503
FBgn0034272	Ir54a	2R	17744101	17746005	1905
FBgn0003545	sub	2R	17745500	17748078	2460
FBgn0034274	CG10931	2R	17748935	17750136	1202
FBgn0034275	CG5002	2R	17750293	17753214	1998
FBgn0034276	Sardh	2R	17753555	17756422	2750
FBgn0027572	ACOX1	2R	17760940	17764541	2506
FBgn0034277	OstDelta	2R	17764574	17767070	2201
FBgn0034279	CG18635	2R	17767808	17769989	2073
FBgn0028740	CG6362	2R	17770405	17772552	1875
FBgn0028741	fab1	2R	17773964	17781930	7194
FBgn0250851	CG33981	2R	17773964	17781930	7194
FBgn0026309	aft	2R	17786135	17788556	2314
FBgn0026316	Ubc10	2R	17788412	17789410	999
FBgn0028744	CG5033	2R	17789679	17792448	2514
FBgn0028743	Dhit	2R	17792870	17800677	4771
FBgn0259211	grh	2R	17801132	17842820	9185
FBgn0041585	Orai	2R	17843442	17860582	5330
FBgn0015522	olf186-M	2R	17846699	17848444	1746
FBgn0050323	CG30323	2R	17853295	17854296	1002
FBgn0034281	CG14490	2R	17860760	17861591	711
FBgn0003701	thr	2R	17861273	17865963	4578
FBgn0034282	Mapmodulin	2R	17866178	17872015	2520
FBgn0011589	Elk	2R	17873939	17926695	5351
FBgn0283437	PPO1	2R	17887220	17889973	2338
FBgn0034288	CG5084	2R	18018665	18020211	1182
FBgn0034290	CG5773	2R	18042296	18043744	1357
FBgn0034299	CG5757	2R	18093723	18094900	1007
FBgn0034300	CG5098	2R	18094940	18101031	5450
FBgn0034301	CG5756	2R	18101061	18108389	4100
FBgn0003520	stau	2R	18117896	18125779	5369
FBgn0028983	Spn55B	2R	18126347	18128210	1297
FBgn0040465	Dlip3	2R	18128494	18130246	1471
FBgn0001222	Hsf	2R	18130303	18134634	2910
FBgn0003044	Pcl	2R	18135426	18139990	4384
FBgn0265297	pAbp	2R	18140078	18147191	4303
FBgn0062440	EMRE	2R	18147297	18147997	701
FBgn0034304	CG5742	2R	18148096	18151410	3315
FBgn0000057	adp	2R	18151704	18154060	2291
FBgn0022238	lolal	2R	18154095	18158192	2402
FBgn0034307	CG10914	2R	18158257	18160310	2054
FBgn0034308	Naus	2R	18160720	18164746	3360
FBgn0034310	Nup75	2R	18164694	18167140	2146
FBgn0260392	CG42518	2R	18167227	18168380	899
FBgn0260401	MED9	2R	18167255	18168380	871
FBgn0027836	Dgp-1	2R	18168413	18172607	2969
FBgn0266854	CR45315	2R	18173049	18173554	506
FBgn0034312	CG10916	2R	18173669	18175725	2057
FBgn0034313	CG5726	2R	18175255	18180197	3491
FBgn0034314	nopo	2R	18180496	18182519	1674
FBgn0034315	CG5721	2R	18182435	18184090	1601
FBgn0053958	CG33958	2R	18184382	18192851	2676
FBgn0034317	CG14499	2R	18187707	18188573	867
FBgn0000658	fj	2R	18232761	18236311	3551
FBgn0266420	Ote	2R	18275607	18277177	1571
FBgn0053198	pen-2	2R	18277439	18278762	1181
FBgn0285917	sbb	2R	18278198	18357296	11326
FBgn0034321	CG14502	2R	18288696	18294712	2798
FBgn0034322	CG18536	2R	18294759	18295658	788
FBgn0034323	CG18537	2R	18295928	18296656	607
FBgn0034324	CG18538	2R	18297070	18297751	549
FBgn0034325	CG18539	2R	18297795	18298903	675
FBgn0034326	CG18540	2R	18299317	18300072	627
FBgn0034327	CG14505	2R	18302945	18303977	1033
FBgn0063498	GstE2	2R	18399486	18400375	890
FBgn0063497	GstE3	2R	18400713	18401467	755
FBgn0063496	GstE4	2R	18403248	18404086	839
FBgn0063495	GstE5	2R	18404605	18405338	734
FBgn0063494	GstE6	2R	18406011	18406761	751
FBgn0063493	GstE7	2R	18406924	18407688	765
FBgn0063492	GstE8	2R	18407834	18408955	1122
FBgn0063491	GstE9	2R	18409048	18409835	788
FBgn0013983	imd	2R	18409796	18413599	1518
FBgn0027835	Dp1	2R	18412027	18421124	6962
FBgn0034345	CG5174	2R	18421413	18426221	2420
FBgn0034346	PIG-O	2R	18426421	18430333	3594
FBgn0284257	Ttd14	2R	18430315	18440475	2871
FBgn0261477	slim	2R	18440965	18445526	3081
FBgn0034350	Lamtor2	2R	18446548	18449420	2533
FBgn0050120	CG30120	2R	18446548	18449420	2533
FBgn0261119	Prp19	2R	18447361	18451041	1757
FBgn0034351	rswl	2R	18451284	18452736	1453
FBgn0028496	CG30116	2R	18456602	18498026	8105
FBgn0034354	GstE11	2R	18503608	18505025	943
FBgn0262476	CG43066	2R	18514574	18526439	5055
FBgn0034356	Pepck2	2R	18527430	18535749	3516
FBgn0003067	Pepck1	2R	18536767	18539416	2486
FBgn0266488	CG45087	2R	18536767	18539416	2486
FBgn0085419	Rgk2	2R	18539585	18548969	4909
FBgn0050115	GEFmeso	2R	18554119	18611777	6958
FBgn0261587	CG42697	2R	18611645	18612730	818
FBgn0034360	CG10927	2R	18613090	18614255	1166
FBgn0034361	mRpS28	2R	18614210	18615018	691
FBgn0034362	CG5323	2R	18615060	18615999	783
FBgn0034363	CG5327	2R	18615988	18618317	2136
FBgn0034364	CG5493	2R	18616692	18619328	1348
FBgn0034366	Atg7	2R	18620466	18625044	2395
FBgn0034365	CG5335	2R	18621541	18622986	1273
FBgn0266671	Sec6	2R	18625249	18627718	2405
FBgn0000566	Cth	2R	18627918	18629395	1478
FBgn0034368	zda	2R	18629594	18632045	2106
FBgn0050122	CG30122	2R	18632328	18639270	4623
FBgn0262595	CheA56a	2R	18640194	18640802	543
FBgn0034371	Ntan1	2R	18640862	18658222	2023
FBgn0034372	Gint3	2R	18658418	18661548	2507
FBgn0259202	CG42306	2R	18658418	18661548	2507
FBgn0023214	edl	2R	18667527	18673536	1454
FBgn0265626	CG44434	2R	18678680	18684198	5259
FBgn0265627	CG44435	2R	18678680	18684198	5259
FBgn0265625	CG44433	2R	18684230	18686775	2491
FBgn0262102	CG42855	2R	18687372	18688641	945
FBgn0262103	Sik3	2R	18688132	18705805	6768
FBgn0034379	CG15073	2R	18705977	18708226	2054
FBgn0034380	Vps51	2R	18708152	18710865	2418
FBgn0034387	Cyp12b2	2R	18754995	18757083	1782
FBgn0259682	Jabba	2R	18757074	18761082	2417
FBgn0034389	Mctp	2R	18761758	18774824	4898
FBgn0034390	CG15093	2R	18775669	18776978	1310
FBgn0034391	CG15080	2R	18783299	18794594	5546
FBgn0034392	MFS15	2R	18794618	18796678	1896
FBgn0010651	MFS14	2R	18796975	18803727	3288
FBgn0010551	Phb2	2R	18819467	18822250	1889
FBgn0034396	CG15097	2R	18822188	18829699	3221
FBgn0034397	CG15082	2R	18830331	18833241	1932
FBgn0034398	CG15098	2R	18833372	18834775	953
FBgn0034399	CG15083	2R	18835263	18836842	669
FBgn0034400	CG15099	2R	18836821	18846619	8544
FBgn0034401	MetRS	2R	18846858	18850599	3403
FBgn0034402	CG15084	2R	18850844	18851963	1120
FBgn0034403	CG18190	2R	18851907	18853043	1077
FBgn0010053	Jheh1	2R	18853434	18855087	1486
FBgn0034405	Jheh2	2R	18855767	18858245	1926
FBgn0034406	Jheh3	2R	18860375	18862078	1576
FBgn0262481	CG43071	2R	18864621	18865218	514
FBgn0004240	DptA	2R	18865765	18866260	496
FBgn0034408	sano	2R	18878391	18959500	5165
FBgn0014269	prod	2R	18969404	18971133	1597
FBgn0041702	CG15107	2R	18971309	18972537	1118
FBgn0267351	Topors	2R	18972612	18977262	4357
FBgn0034411	CG18605	2R	18977514	18979279	1589
FBgn0004168	5-HT1A	2R	19067155	19121958	5019
FBgn0034417	CG15117	2R	19122231	19129300	3391
FBgn0027535	botv	2R	19129589	19133706	3608
FBgn0034418	CG15118	2R	19133727	19137169	2859
FBgn0034419	CG15111	2R	19137372	19141034	1772
FBgn0000578	ena	2R	19141632	19163705	6075
FBgn0034420	CG10737	2R	19164143	19178223	5006
FBgn0263395	hppy	2R	19178738	19227193	5143
FBgn0034422	CG7137	2R	19227344	19228613	1270
FBgn0010434	cora	2R	19229063	19243751	6043
FBgn0004003	wbl	2R	19249395	19250917	1319
FBgn0003254	rib	2R	19270078	19281396	4665
FBgn0034425	CG11906	2R	19281418	19283961	2289
FBgn0013954	Fkbp12	2R	19290109	19290962	633
FBgn0034430	mip40	2R	19291105	19292196	1092
FBgn0086358	Tab2	2R	19292529	19304508	3976
FBgn0034432	Acadvl	2R	19305172	19307445	2274
FBgn0034433	EndoB	2R	19307447	19310665	2431
FBgn0264753	Rgk1	2R	19311148	19356525	7035
FBgn0034436	CG11961	2R	19357532	19363124	3896
FBgn0034437	CG10051	2R	19363641	19367294	2768
FBgn0034438	CG9416	2R	19367248	19373702	3189
FBgn0034439	CG10062	2R	19375313	19380174	3330
FBgn0034442	CG11257	2R	19390128	19391900	1718
FBgn0261439	SdhA	2R	19391863	19395971	2750
FBgn0034443	cer	2R	19396215	19396772	497
FBgn0263391	hts	2R	19397032	19424903	11529
FBgn0012051	CalpA	2R	19425113	19430564	3440
FBgn0020440	Fak	2R	19430659	19437259	5619
FBgn0040273	Spt5	2R	19437483	19441898	3460
FBgn0013325	RpL11	2R	19442342	19443825	1017
FBgn0034446	Arl6	2R	19444179	19445058	709
FBgn0266711	EloC	2R	19445085	19446286	654
FBgn0284243	betaTub56D	2R	19447319	19451600	1869
FBgn0034447	CG7744	2R	19452504	19455527	2585
FBgn0002716	mei-W68	2R	19456170	19459523	2300
FBgn0260934	par-1	2R	19456170	19485686	12693
FBgn0034451	Tbcb	2R	19485494	19486837	1166
FBgn0034452	Oseg6	2R	19487046	19491846	4322
FBgn0026378	Rep	2R	19492087	19494125	1923
FBgn0261456	hpo	2R	19493996	19496856	2804
FBgn0034455	CG11007	2R	19503068	19504594	1527
FBgn0003435	sm	2R	19517864	19631508	16635
FBgn0015949	hrg	2R	19663919	19669832	4587
FBgn0028372	Kpc2	2R	19670618	19673477	2612
FBgn0034467	CG15128	2R	19685614	19688078	2011
FBgn0034473	Or56a	2R	19769461	19771233	1260
FBgn0034474	Obp56g	2R	19783484	19784043	495
FBgn0034476	Toll-7	2R	19826578	19832973	6396
FBgn0034479	CG8654	2R	19979242	19984895	3178
FBgn0287775	18w	2R	20111511	20116932	5422
FBgn0034487	Efhc1.2	2R	20239936	20242873	2572
FBgn0034488	Hacl	2R	20242752	20245388	1984
FBgn0034489	ppk6	2R	20245760	20247624	1625
FBgn0034490	CG9864	2R	20248130	20254670	1753
FBgn0025720	Ate1	2R	20254966	20257390	1796
FBgn0034491	Hsl	2R	20257650	20261726	3851
FBgn0005655	PCNA	2R	20261754	20262883	1070
FBgn0010411	RpS18	2R	20263979	20264848	612
FBgn0034493	CG8908	2R	20264920	20270994	5102
FBgn0034494	CG10444	2R	20271653	20274499	2790
FBgn0034495	CG11788	2R	20274597	20276142	1429
FBgn0287774	CG9143	2R	20275973	20278915	2708
FBgn0034497	Mpcp1	2R	20279066	20281127	1499
FBgn0034498	CG16868	2R	20281629	20287094	5174
FBgn0034500	CG11200	2R	20304517	20308671	1688
FBgn0034501	CG13868	2R	20308777	20316917	3865
FBgn0034502	CG13871	2R	20317323	20319039	1717
FBgn0027529	tapas	2R	20319180	20325973	4552
FBgn0034503	MED8	2R	20325844	20326806	963
FBgn0034504	CG8929	2R	20327270	20330721	2972
FBgn0034505	CG16739	2R	20341993	20342749	695
FBgn0050148	CG30148	2R	20546595	20547658	1064
FBgn0050145	Obp57e	2R	20547816	20548291	411
FBgn0034518	CG13430	2R	20550334	20552090	1631
FBgn0034519	BORCS7	2R	20550334	20552090	1631
FBgn0034520	lms	2R	20556877	20559953	2030
FBgn0034521	Mgat1	2R	20559156	20562331	2822
FBgn0028622	qsm	2R	20563034	20583591	2059
FBgn0034523	Nnf1a	2R	20586222	20587238	682
FBgn0267791	HnRNP-K	2R	20587551	20606854	2571
FBgn0050147	Hil	2R	20606881	20618217	3383
FBgn0034527	CG9945	2R	20618503	20621081	2075
FBgn0034528	CG11180	2R	20620914	20623429	2460
FBgn0034529	FAM21	2R	20623547	20628315	4602
FBgn0034530	Rcd6	2R	20628186	20633506	3135
FBgn0250850	rig	2R	20633876	20640681	4123
FBgn0034532	CG13436	2R	20636392	20638423	1917
FBgn0034534	maf-S	2R	20640976	20641668	646
FBgn0034535	CG11110	2R	20641742	20642558	752
FBgn0061361	Tcs1	2R	20642466	20643785	1245
FBgn0061362	Polr3K	2R	20642466	20643785	1245
FBgn0034537	DMAP1	2R	20644036	20645865	1584
FBgn0034540	Lrt	2R	20646360	20661070	3660
FBgn0034538	CG16799	2R	20652557	20655096	1288
FBgn0034541	CG13437	2R	20661585	20662595	782
FBgn0034542	Fem-1	2R	20662474	20667306	2874
FBgn0000615	exu	2R	20667427	20671083	3290
FBgn0034543	galla-1	2R	20670636	20673495	2414
FBgn0034546	CG13442	2R	20727829	20730610	1633
FBgn0263850	CG43711	2R	20778249	20779487	1239
FBgn0265877	CG44666	2R	20779992	20783216	3123
FBgn0011674	insc	2R	20821262	20836028	3887
FBgn0016984	sktl	2R	20827282	20836028	4106
FBgn0050295	Ipk1	2R	20870791	20879145	3121
FBgn0034558	Cib2	2R	20879930	20882663	947
FBgn0020617	Rx	2R	20916753	20937030	3267
FBgn0000044	Act57B	2R	20944021	20946431	1724
FBgn0034564	CG9344	2R	20977056	20977600	474
FBgn0034565	CG15650	2R	20977595	20978818	1152
FBgn0034566	CG9313	2R	20978901	20984043	3072
FBgn0034568	CG3216	2R	20986833	20991171	3486
FBgn0034569	dgt3	2R	20992276	20994381	1809
FBgn0261394	Prosalpha3	2R	20994900	20996118	973
FBgn0034570	CG10543	2R	20996220	21007740	7429
FBgn0050291	CG30291	2R	21007755	21009576	1655
FBgn0001133	grau	2R	21009764	21011921	1894
FBgn0034572	CG9346	2R	21011970	21015628	2998
FBgn0034573	Sou	2R	21015594	21017446	1853
FBgn0050296	RIC-3	2R	21017784	21024918	2938
FBgn0034576	ND-B14.7	2R	21025078	21026086	712
FBgn0003391	shg	2R	21049654	21057197	6400
FBgn0034577	cpa	2R	21057787	21059883	1918
FBgn0034578	CG15653	2R	21059780	21060547	711
FBgn0034579	mRpL54	2R	21060789	21061587	682
FBgn0034580	Cht8	2R	21061646	21063212	1448
FBgn0034582	Cht9	2R	21067992	21069286	1161
FBgn0034583	CG10527	2R	21070368	21072789	1160
FBgn0003748	Treh	2R	21074018	21088945	4369
FBgn0034585	Rbpn-5	2R	21088386	21091004	2319
FBgn0085425	CG34396	2R	21092222	21101453	4420
FBgn0011824	Gar1	2R	21095958	21097305	957
FBgn0020312	Tmtc3	2R	21123735	21128510	3572
FBgn0002736	mago	2R	21128577	21129737	1103
FBgn0034590	Magi	2R	21129463	21142261	5198
FBgn0021872	Xbp1	2R	21143545	21145750	2142
FBgn0026582	Hmg-2	2R	21146203	21147608	1347
FBgn0034595	CG15657	2R	21147478	21148153	617
FBgn0050389	CG30389	2R	21148265	21160545	5067
FBgn0034598	Isha	2R	21161713	21168659	4662
FBgn0034599	hng1	2R	21168930	21170010	1081
FBgn0261067	LSm1	2R	21169969	21170672	588
FBgn0261850	Xpd	2R	21171001	21174504	2797
FBgn0003162	Pu	2R	21175315	21182608	2152
FBgn0003891	tud	2R	21183322	21192913	8830
FBgn0034602	Lapsyn	2R	21193571	21199431	1630
FBgn0265180	CG44245	2R	21200483	21212969	2299
FBgn0265191	Gyg	2R	21200483	21210821	4135
FBgn0027073	Ugt49B1	2R	21212880	21214972	1754
FBgn0034605	Ugt49C1	2R	21215435	21217779	1899
FBgn0034606	ASPP	2R	21217856	21251150	5044
FBgn0085426	Rgk3	2R	21255165	21280995	4659
FBgn0034611	MFS16	2R	21282298	21285679	2814
FBgn0034612	CG10505	2R	21285248	21290343	4426
FBgn0050392	CG30392	2R	21290914	21292181	1141
FBgn0050390	Sgf29	2R	21292239	21293646	1177
FBgn0016726	RpL29	2R	21293768	21294404	389
FBgn0034614	CG9752	2R	21294402	21295588	1131
FBgn0261554	Arms	2R	21295652	21310411	8384
FBgn0034617	Panx	2R	21310368	21312354	1987
FBgn0034618	CG9485	2R	21312399	21319569	5491
FBgn0250824	CG33655	2R	21317793	21320017	2168
FBgn0050394	CG30394	2R	21320040	21323320	3055
FBgn0020306	dom	2R	21323430	21341847	13020
FBgn0034622	BBS9	2R	21341972	21345608	2947
FBgn0034623	CG9822	2R	21346875	21347883	883
FBgn0034624	CG17974	2R	21348945	21350578	1033
FBgn0000395	cv-2	2R	21355015	21379464	4329
FBgn0034626	bisc	2R	21383227	21384391	1100
FBgn0034627	eEFSec	2R	21384552	21386221	1613
FBgn0034628	Acox57D-p	2R	21386309	21389276	2552
FBgn0034629	Acox57D-d	2R	21389405	21392439	2252
FBgn0010415	Sdc	2R	21392402	21481176	4202
FBgn0026369	Sara	2R	21481927	21487107	4621
FBgn0010470	Fkbp14	2R	21487167	21497929	1800
FBgn0034631	TAF1C-like	2R	21498903	21501732	2753
FBgn0043070	MESK2	2R	21502097	21517241	4600
FBgn0034634	CG10494	2R	21516774	21519125	2179
FBgn0050288	CG30288	2R	21519243	21520393	965
FBgn0003731	Egfr	2R	21522420	21559977	6947
FBgn0050286	CG30286	2R	21535716	21536795	967
FBgn0050287	CG30287	2R	21536894	21538015	955
FBgn0069056	CG33226	2R	21538250	21539293	879
FBgn0260477	CG30283	2R	21539584	21540573	822
FBgn0034636	twz	2R	21560246	21576035	2758
FBgn0053225	CG33225	2R	21590275	21591584	1095
FBgn0034638	CG10433	2R	21605676	21608125	2112
FBgn0034639	CG15673	2R	21608393	21613071	1143
FBgn0042180	CG18870	2R	21613845	21616907	2937
FBgn0000326	clt	2R	21617061	21619079	1844
FBgn0016641	PTP-ER	2R	21619321	21624446	5069
FBgn0034641	mahj	2R	21625030	21631422	5346
FBgn0034642	CG15674	2R	21632007	21634362	1809
FBgn0034643	CG10321	2R	21634679	21638399	3322
FBgn0034644	Ip6k	2R	21646177	21657935	4426
FBgn0050284	CG30284	2R	21650820	21651999	1180
FBgn0034645	ND-B12	2R	21658078	21658777	606
FBgn0034646	Rae1	2R	21658770	21660007	1189
FBgn0034647	pirk	2R	21660967	21662995	1846
FBgn0259708	CG42362	2R	21664126	21666108	1930
FBgn0259709	CG42363	2R	21664126	21666108	1930
FBgn0259710	CG42364	2R	21665940	21666579	640
FBgn0259711	CG42365	2R	21666687	21667594	908
FBgn0034649	PIG-M	2R	21667541	21669916	2320
FBgn0259725	CG42379	2R	21667541	21669916	2320
FBgn0259726	CG42380	2R	21667541	21669916	2320
FBgn0259727	CG42381	2R	21667541	21669916	2259
FBgn0034650	NC2alpha	2R	21670152	21671593	1235
FBgn0050263	stum	2R	21674901	21685000	6868
FBgn0034654	eIF3k	2R	21685283	21686201	853
FBgn0003687	Tbp	2R	21686192	21687642	1387
FBgn0050285	BaraC	2R	21687903	21688545	575
FBgn0034655	CG10307	2R	21688773	21690253	1362
FBgn0027360	Tim10	2R	21690215	21691139	762
FBgn0260223	CG42497	2R	21690215	21691139	691
FBgn0050290	Ppcdc	2R	21691295	21692764	1206
FBgn0260222	CG42496	2R	21691295	21692764	1206
FBgn0266346	CngB	2R	21692691	21697152	3399
FBgn0010228	HmgZ	2R	21697488	21707861	1604
FBgn0004362	HmgD	2R	21701458	21716727	1965
FBgn0050403	CG30403	2R	21709895	21711613	1268
FBgn0050404	Tango11	2R	21716780	21719963	1881
FBgn0050398	CG30398	2R	21717804	21718832	1029
FBgn0034657	LBR	2R	21720495	21724055	2915
FBgn0034659	CG4021	2R	21773295	21774876	1201
FBgn0034662	CG13492	2R	21820662	21831409	9183
FBgn0034664	CG4377	2R	21835448	21836357	788
FBgn0034666	CG9294	2R	21860825	21861994	1115
FBgn0085397	Fili	2R	21872030	21946259	5249
FBgn0263999	CG43742	2R	21935002	21936863	1508
FBgn0085398	ppk9	2R	21964173	21970664	1806
FBgn0034674	CG9304	2R	21973122	21976386	2785
FBgn0041237	Gr58c	2R	21976662	21977957	1239
FBgn0050401	dany	2R	21985626	21986938	1258
FBgn0085399	CG34370	2R	21987068	22039559	4425
FBgn0034683	Grl58a	2R	22056467	22057681	1215
FBgn0034684	CG13501	2R	22058904	22061517	1692
FBgn0265192	Snp	2R	22060950	22069757	2451
FBgn0265184	CG44249	2R	22066883	22068372	1490
FBgn0034687	CG11475	2R	22069725	22071286	1562
FBgn0034688	CG11474	2R	22071234	22073443	1776
FBgn0034689	CG2921	2R	22073538	22075308	1597
FBgn0067102	GlcT	2R	22075988	22079381	3394
FBgn0034691	Synj	2R	22080176	22085767	4764
FBgn0034692	CG13502	2R	22085782	22088727	1755
FBgn0034693	flap	2R	22091489	22099534	3773
FBgn0034694	Plekhm1	2R	22103177	22105963	2412
FBgn0243516	Vrp1	2R	22106107	22122562	5242
FBgn0050280	CG30280	2R	22113589	22114841	1075
FBgn0050281	CG30281	2R	22114997	22116189	1007
FBgn0002715	mei-S332	2R	22122101	22124566	1703
FBgn0034697	GM130	2R	22124567	22127502	2721
FBgn0029147	NtR	2R	22127808	22130184	1876
FBgn0085234	CG34205	2R	22130112	22131299	960
FBgn0000008	a	2R	22136968	22172834	5414
FBgn0034700	CG11269	2R	22138895	22139295	401
FBgn0029084	gom	2R	22139935	22141364	1313
FBgn0085235	CG34206	2R	22163738	22164594	857
FBgn0034703	CG3045	2R	22172803	22174691	1663
FBgn0034704	Fbxo42	2R	22174922	22177428	2392
FBgn0034705	CG11170	2R	22177419	22182879	1223
FBgn0050279	CR30279	2R	22179181	22179687	507
FBgn0034706	CG11275	2R	22179695	22182642	1664
FBgn0034707	MED16	2R	22183138	22185892	2755
FBgn0034708	Vps35	2R	22185972	22189886	3369
FBgn0034709	Swim	2R	22189817	22202671	2171
FBgn0034710	Alp7	2R	22203694	22205593	1713
FBgn0283480	Alp2	2R	22206005	22207987	1762
FBgn0034712	Alp8	2R	22208464	22210765	2182
FBgn0034713	CG11291	2R	22211371	22212704	1280
FBgn0025186	ari-2	2R	22212835	22217264	3008
FBgn0034716	Oatp58Dc	2R	22223681	22228574	3138
FBgn0020307	dve	2R	22243963	22286469	4933
FBgn0034718	wdp	2R	22298214	22311937	3391
FBgn0013272	Gp150	2R	22317662	22329416	4916
FBgn0085236	CG34207	2R	22329195	22329720	526
FBgn0017482	T3dh	2R	22329726	22332072	1959
FBgn0016053	pgc	2R	22330200	22332813	1212
FBgn0034720	Liprin-gamma	2R	22333500	22373109	5669
FBgn0034722	Rtf1	2R	22375090	22378484	3161
FBgn0025878	wrapper	2R	22379637	22382675	1977
FBgn0034723	CG13506	2R	22383134	22394015	2977
FBgn0034724	babos	2R	22393876	22402059	1303
FBgn0022984	qkr58E-3	2R	22409208	22411545	1729
FBgn0034726	PolE4	2R	22411789	22412582	740
FBgn0022986	qkr58E-1	2R	22412556	22415518	2713
FBgn0022985	qkr58E-2	2R	22415560	22419001	3206
FBgn0034727	mRpS29	2R	22418937	22420376	1440
FBgn0034728	rad50	2R	22421013	22425482	4072
FBgn0287212	CG46442	2R	22425576	22425981	348
FBgn0034729	CG10344	2R	22425733	22426977	1190
FBgn0034730	ppk12	2R	22427479	22429584	1710
FBgn0034731	CG10384	2R	22454741	22472995	3849
FBgn0034733	CG4752	2R	22478379	22483054	3995
FBgn0034734	CG4554	2R	22483303	22492033	8425
FBgn0034735	CG4610	2R	22492197	22494295	2099
FBgn0003175	px	2R	22494297	22562065	10746
FBgn0034736	gas	2R	22550094	22552113	1955
FBgn0260866	dnr1	2R	22563152	22592964	3553
FBgn0034739	CG3927	2R	22594677	22596348	1077
FBgn0034741	CG4269	2R	22597245	22600695	1783
FBgn0034742	CG4294	2R	22600405	22605667	4704
FBgn0034743	RpS16	2R	22605745	22607995	754
